@relation hw3_train

@attribute STATE {AL,CA,FL,MO,MN,TX,OR,MI,IL,AR,OK,GA,IN,CO,MS,LA,TN,WA,WI,MA,AZ,UT,KY,PA,KS,IA,NC,NM,SC,NV,ID,WY,NY,AK,ND,HI,MT,NE,SD,OH,CT,AP,VA,AE,AA,WV,MD,VI,ME,NH,NJ,GU,VT,RI}
@attribute DOMAIN {T2,' ',S1,U2,R2,U1,C1,T3,S2,C2,U4,R3,C3,S3,T1,U3,R1}
@attribute AGE numeric
@attribute HOMEOWNR {H,' ',U}
@attribute NUMCHLD numeric
@attribute INCOME {1,2,3,4,5,6,7}
@attribute GENDER {F,M,' ',J,U,C,A}
@attribute WEALTH1 {0,1,2,3,4,5,6,7,8,9}
@attribute HIT numeric
@attribute MBCRAFT numeric
@attribute MBGARDEN numeric
@attribute MBBOOKS numeric
@attribute MBCOLECT numeric
@attribute MAGFAML numeric
@attribute MAGFEM numeric
@attribute MAGMALE numeric
@attribute PUBGARDN numeric
@attribute PUBCULIN numeric
@attribute PUBHLTH numeric
@attribute PUBDOITY numeric
@attribute PUBNEWFN numeric
@attribute PUBPHOTO numeric
@attribute PUBOPP numeric
@attribute MAJOR {' ',X}
@attribute PEPSTRFL {X,' '}
@attribute NUMPRM12 numeric
@attribute NGIFTALL numeric
@attribute TARGET_B {0,1}

@data
TX,R3,?,' ',?,?,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',10,1,0
WI,S1,41,U,?,4,M,9,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',11,4,1
CA,U1,?,U,?,3,F,6,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,' ',X,13,8,0
CA,U4,72,H,?,3,F,1,37,1,0,3,0,2,2,1,0,1,6,1,4,0,2,' ',' ',11,3,0
MI,U2,46,U,1,5,F,7,22,0,0,7,0,1,0,0,0,1,6,0,0,0,0,' ',' ',12,2,0
MO,T2,56,U,?,1,M,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,' ',' ',12,2,0
NE,R2,61,U,?,4,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,13,12,0
LA,C1,52,H,1,7,U,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',' ',12,3,0
FL,S2,76,H,?,5,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',10,1,0
IL,U1,67,H,?,4,F,7,241,1,0,5,?,1,0,0,0,0,3,1,0,0,0,' ',' ',13,6,0
CA,U2,?,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',10,7,0
CA,S2,33,' ',?,?,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,11,13,0
TX,T1,?,H,?,7,F,8,6,0,0,1,0,1,0,0,0,0,1,0,0,0,0,' ',' ',12,4,0
TX,R2,62,H,?,4,F,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',X,9,11,0
MI,U3,56,H,?,7,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',9,2,0
IA,R2,?,U,?,1,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,12,27,0
TN,S1,56,H,?,7,M,9,48,4,1,9,0,4,0,0,4,1,6,5,3,0,0,' ',X,11,10,0
FL,T2,46,' ',?,?,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',12,4,1
AR,R3,36,' ',?,3,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',20,5,0
MN,R3,83,H,2,2,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',X,13,20,0
WA,R2,?,' ',?,?,' ',?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',13,6,1
CA,T2,?,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',14,3,1
CA,S2,73,H,?,3,M,5,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,' ',' ',11,4,0
MO,C2,81,H,?,5,F,8,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,' ',X,11,7,0
SC,S1,83,U,?,5,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',10,2,1
NC,C2,?,H,?,1,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,10,36,0
TN,T2,57,H,?,7,F,6,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,' ',X,13,34,0
WI,U2,50,H,?,5,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',12,4,0
MI,R2,88,U,?,6,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,14,23,0
MN,T1,37,H,?,4,F,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',' ',23,2,0
IL,T2,69,H,?,2,F,6,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,' ',X,13,12,0
TX,S1,?,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,13,7,0
CO,U1,76,' ',?,?,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',13,13,0
CA,S1,69,H,?,7,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',13,11,1
IN,R2,78,H,?,2,F,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',X,13,3,0
CA,' ',89,H,?,4,F,2,6,0,0,0,0,1,1,0,1,0,0,0,0,0,1,' ',X,10,15,0
MI,T1,44,H,?,5,F,7,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,' ',' ',13,5,1
OK,R3,?,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,11,16,0
CA,U1,54,H,2,6,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',13,4,0
NM,S1,38,H,1,6,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,13,13,0
TX,R2,68,H,?,4,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,12,14,0
LA,C3,53,U,?,4,M,7,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,' ',X,13,28,0
MO,U3,38,U,1,3,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,13,5,0
CA,U3,71,H,?,4,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,13,11,0
CO,S2,41,H,1,3,M,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',X,12,15,0
AZ,R2,42,H,1,3,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,13,15,0
KY,R2,?,U,?,3,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',9,4,0
IN,T2,73,' ',?,3,F,7,5,0,0,1,0,0,0,0,0,0,2,0,0,0,0,' ',' ',12,9,0
IL,U4,38,U,?,4,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',13,4,0
CO,S2,37,H,?,2,F,5,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',12,4,0
MI,U3,27,H,1,4,M,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',X,13,9,0
MS,R2,74,H,?,4,M,3,10,0,0,2,0,2,1,0,0,1,1,0,2,0,0,' ',' ',16,6,0
MN,T1,44,H,2,5,F,7,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',14,4,0
KY,S2,?,' ',?,?,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,13,26,0
TX,U1,39,H,?,3,F,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',' ',10,2,0
TX,T2,56,H,1,2,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',12,2,0
KY,S2,56,H,1,6,F,8,21,3,0,4,0,2,1,0,0,0,2,0,0,0,0,' ',' ',11,5,0
SC,T1,?,' ',?,?,' ',?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,6,14,0
IL,U2,40,U,?,6,M,1,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,' ',' ',13,7,0
MO,S1,87,U,?,1,F,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',X,27,18,1
GA,R3,?,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,13,28,0
AL,S1,84,H,?,5,F,9,5,0,0,1,0,0,0,0,0,1,0,0,1,0,0,' ',X,13,8,0
AR,T2,59,H,?,6,F,9,8,0,0,1,0,1,1,0,1,0,0,1,0,0,0,' ',X,12,15,0
FL,R1,60,U,?,5,F,8,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,' ',X,13,36,0
SC,T3,50,U,?,3,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,9,23,0
FL,R3,78,U,?,2,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,14,20,0
TX,S1,72,H,?,4,M,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',' ',9,6,0
CA,S1,77,H,?,7,M,8,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,' ',X,12,11,0
CA,C1,69,U,?,5,M,6,9,0,0,0,0,1,0,0,0,1,0,0,0,0,0,' ',' ',12,10,0
MI,U3,62,H,1,4,F,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',X,14,5,0
NC,C2,73,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,7,31,0
CA,' ',40,H,?,7,M,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,' ',' ',19,9,0
WI,U3,40,U,?,5,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',11,5,0
PA,S1,?,' ',?,?,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',10,1,0
AA,U2,?,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',12,2,1
TX,R3,45,H,2,4,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,13,8,0
WI,S2,75,H,?,2,F,7,32,1,0,5,0,3,1,0,1,3,4,0,0,0,0,' ',X,11,25,0
FL,S1,41,H,?,6,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,12,37,0
NC,R2,62,H,1,1,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,12,13,0
WI,S2,52,H,?,4,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',13,7,0
CA,T2,92,H,?,5,F,6,5,0,0,2,0,0,0,0,0,0,2,0,0,0,0,' ',' ',12,13,0
CA,S2,86,U,?,1,F,6,11,0,0,4,0,1,0,0,0,1,1,0,0,0,0,' ',' ',12,8,0
TX,S1,73,H,?,6,M,9,13,2,0,0,0,1,0,0,0,0,0,0,3,0,0,' ',' ',13,9,1
IL,S2,44,U,?,3,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,13,17,0
CA,S1,86,H,?,6,F,9,16,0,0,2,0,2,1,0,0,0,0,0,1,0,0,' ',' ',13,7,0
OK,S1,74,H,2,4,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',13,5,0
TX,C1,35,H,?,4,M,6,15,0,1,2,0,1,0,0,0,0,3,0,0,0,0,' ',X,12,19,1
CA,U3,52,H,?,1,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,11,19,0
IA,R2,40,U,?,4,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',13,15,0
MI,S2,42,H,?,3,F,7,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,' ',' ',10,2,1
IL,C2,75,H,?,1,M,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',X,7,13,0
CA,R2,74,H,?,4,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,14,27,0
CA,U3,76,H,?,5,F,2,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',11,3,0
OR,R2,52,U,?,3,M,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,' ',' ',11,2,0
WA,S3,87,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,10,28,1
OK,R2,70,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',12,1,0
GA,C3,?,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',12,1,0
FL,C1,76,H,?,5,F,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,' ',' ',13,5,0
TX,U4,64,H,?,4,F,2,5,0,0,2,0,1,0,0,0,0,0,0,0,0,0,' ',X,13,15,0
MS,T2,42,H,1,2,F,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',X,12,5,0
TX,C3,36,H,?,2,M,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,' ',X,14,18,0
IN,C3,63,H,?,2,F,4,23,0,0,4,2,3,0,1,1,0,2,1,2,0,2,' ',X,10,23,0
CA,R2,62,U,?,2,F,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',12,6,0
TX,C2,?,' ',?,?,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,13,13,0
NM,S3,45,H,1,3,M,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,' ',' ',13,4,0
KY,T2,39,H,1,3,M,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,' ',X,11,7,0
SC,T2,68,H,?,3,M,8,23,1,0,3,0,2,2,0,1,1,2,1,2,0,0,' ',X,13,19,0
IL,U4,66,H,?,4,F,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,' ',' ',10,1,0
MN,S2,77,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,13,13,0
FL,S2,54,' ',?,?,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,14,25,0
CA,S1,?,' ',?,?,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',13,7,0
TN,T2,37,H,?,3,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',11,1,0
FL,C1,?,' ',?,?,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,7,5,0
CA,U4,?,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',10,3,0
AL,U1,?,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,13,5,0
CA,S1,64,' ',?,?,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,13,4,0
IN,T2,?,U,?,1,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,27,19,0
FL,C2,?,H,?,5,M,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,' ',X,12,18,1
CA,S1,80,U,?,5,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,9,16,0
AR,T2,65,U,?,3,M,6,9,1,0,2,0,0,0,0,0,0,1,0,0,0,1,' ',X,11,15,0
TX,R2,76,U,?,3,F,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',X,13,16,1
CO,C2,44,U,?,1,M,1,3,0,0,1,0,0,0,0,0,0,0,2,0,0,0,' ',X,13,4,0
CA,C1,77,H,?,4,F,8,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,' ',' ',12,4,0
IL,C2,50,H,1,7,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',13,12,0
KY,T2,74,H,?,7,M,7,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,' ',X,15,10,0
MI,C1,85,U,?,7,U,6,10,1,0,1,0,4,0,0,1,1,1,0,0,0,0,' ',X,12,18,0
OR,T3,54,H,?,5,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,26,11,0
CA,S1,42,H,?,3,M,8,23,1,0,7,0,1,0,0,0,1,5,2,1,0,0,' ',X,13,5,1
MO,C1,36,H,?,5,F,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',' ',12,2,0
CA,R2,56,H,?,3,M,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',' ',10,2,0
IL,C2,?,U,?,5,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,30,29,0
CA,S1,60,H,?,5,F,9,15,0,0,0,0,1,1,0,0,0,0,0,1,0,0,' ',X,14,11,0
TX,S1,?,H,?,5,M,9,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',15,10,0
CA,S1,53,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',11,2,0
NV,U2,60,U,?,4,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,13,14,1
MN,R3,60,H,?,1,F,1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,' ',X,13,21,1
CA,U1,?,' ',?,?,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,14,15,0
TX,T2,35,H,1,5,M,5,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,9,19,0
NE,T1,40,H,4,5,F,8,6,0,0,2,1,0,0,0,0,0,0,0,0,0,0,' ',' ',12,2,0
MO,C1,74,H,1,3,M,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',X,13,11,0
UT,U1,73,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',7,9,1
FL,T2,59,H,?,4,M,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,' ',X,12,13,0
WA,S1,56,H,?,7,F,9,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,' ',' ',12,1,0
NE,S2,47,H,?,4,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,17,12,1
NE,S2,?,U,?,1,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',4,5,0
KY,S2,43,H,?,3,F,9,19,2,0,5,0,2,0,0,1,1,0,1,1,0,0,' ',' ',8,4,0
FL,S2,51,H,?,7,F,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',X,13,27,0
NC,T2,40,U,?,5,M,7,23,0,0,8,0,2,0,0,1,1,5,4,0,0,0,' ',' ',14,12,0
CA,C1,86,H,?,7,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',12,2,0
CA,S2,72,U,?,1,F,4,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,' ',' ',24,21,0
MI,U4,95,H,?,5,F,0,14,0,0,4,0,0,1,0,0,1,2,0,0,0,1,' ',X,9,20,0
FL,R3,70,H,?,2,M,3,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',10,1,0
IN,C2,36,H,?,6,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,13,15,0
IN,C3,55,H,?,3,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',X,11,4,0
TN,R3,74,U,?,1,M,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',' ',15,7,0
GA,T2,50,H,?,5,M,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',' ',12,8,0
CA,T1,46,H,?,6,F,8,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',13,4,0
TX,C2,76,U,?,2,F,7,7,0,0,1,0,0,0,0,0,0,2,0,0,0,0,' ',X,14,17,0
CA,S1,32,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',10,2,0
CO,C1,82,U,?,2,F,5,61,2,0,5,1,1,2,1,1,1,5,0,5,0,5,' ',X,29,14,1
NC,T2,62,H,?,5,F,6,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,' ',' ',13,6,0
MO,S3,74,H,?,2,M,4,10,0,1,1,0,1,0,1,0,0,0,0,0,0,0,' ',X,8,14,1
TX,U2,?,' ',?,?,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',13,2,0
OR,T2,80,' ',?,?,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,14,10,0
IL,U3,72,H,?,5,F,2,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,' ',' ',13,9,0
CA,U1,39,H,1,6,M,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',X,12,5,0
TN,R3,52,H,?,2,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',11,1,0
CA,U1,?,H,?,4,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,12,10,0
FL,C2,94,U,?,2,F,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',' ',12,5,0
OR,S1,68,H,?,4,F,9,22,3,0,2,0,4,0,1,0,1,0,0,0,0,0,' ',X,13,7,1
IA,T2,?,' ',?,?,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',12,5,0
CA,U4,71,H,?,2,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,15,37,0
MA,C3,75,H,?,3,M,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',' ',17,6,0
WA,U1,80,H,?,7,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',9,4,0
TX,C1,66,H,?,6,M,9,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,15,9,0
MO,S3,66,H,?,2,M,4,7,0,0,1,0,1,0,0,0,0,0,0,2,0,1,' ',X,12,14,0
FL,C1,50,H,?,7,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',12,2,0
KY,R2,52,H,?,4,J,2,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',9,6,0
CA,U1,88,H,?,4,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,7,15,0
AZ,R3,72,U,?,1,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,8,10,1
CA,S1,?,' ',?,?,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',11,2,0
AL,T1,55,H,1,6,F,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,' ',X,11,9,0
NV,T3,?,U,?,3,M,1,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',10,1,0
WI,R2,34,H,2,3,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',10,1,1
OR,R3,79,H,?,7,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',14,9,0
TX,C3,55,' ',?,?,' ',?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',12,13,0
NC,S2,54,H,?,3,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',13,2,1
CA,S1,?,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,13,29,1
MN,R2,?,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',10,4,0
FL,S3,46,H,?,4,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,13,14,1
WI,R2,76,U,?,2,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,13,12,0
IL,S2,76,H,2,2,F,7,10,0,0,2,1,0,0,0,0,0,3,0,0,0,0,' ',X,13,14,1
CA,U1,70,H,?,6,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,27,32,1
CA,T1,88,H,?,7,M,9,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,' ',' ',13,4,0
LA,C3,66,H,?,5,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,12,10,0
WA,C1,72,U,?,4,M,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',X,12,19,1
TX,T2,76,H,1,2,F,5,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,' ',X,13,12,0
AR,T1,56,H,3,6,F,9,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,' ',' ',10,1,0
IL,R2,71,U,?,4,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,13,11,0
MO,R3,64,H,?,2,F,3,5,0,1,0,0,1,0,0,0,0,0,1,0,0,0,' ',X,12,23,0
MI,S2,72,U,?,2,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,13,15,0
OR,S3,77,H,?,5,F,5,21,0,1,1,0,2,1,0,0,0,0,0,1,0,1,' ',' ',12,11,0
GA,T2,63,H,?,6,M,7,15,0,0,3,0,2,1,0,0,0,1,0,3,0,0,' ',X,12,14,0
KS,T2,?,H,?,5,M,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',' ',12,3,0
CA,C3,?,' ',?,?,' ',?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',10,2,1
CA,U1,90,' ',?,4,M,9,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,' ',' ',18,6,1
WI,T1,32,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,14,7,0
CA,C3,45,H,?,4,F,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',' ',13,6,1
WV,T2,68,H,?,4,F,2,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',15,12,1
TX,S1,73,' ',?,?,' ',?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,15,13,0
CA,R1,?,H,?,6,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',13,3,0
AK,T2,72,H,?,4,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,13,14,1
TN,R3,76,H,?,6,M,3,8,0,0,2,0,0,0,0,1,0,2,1,0,0,0,' ',X,17,22,0
LA,R3,78,U,?,2,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',13,10,0
CA,U1,47,H,?,4,F,6,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,13,11,1
OR,C1,?,' ',?,?,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',5,1,1
CA,S2,76,U,?,1,F,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',X,13,32,0
WI,T2,55,U,?,4,M,8,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,' ',X,17,14,0
WA,C1,48,H,1,5,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',10,3,0
CA,U1,?,H,?,6,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',13,12,0
CA,S3,73,H,?,3,F,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',X,13,22,0
TX,R3,46,' ',?,?,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',10,6,0
TX,S1,42,H,1,6,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,14,13,0
