@relation churn2_train

@attribute COLLEGE {zero,one}
@attribute INCOME numeric
@attribute OVERAGE numeric
@attribute LEFTOVER numeric
@attribute HOUSE numeric
@attribute HANDSET_PRICE numeric
@attribute OVER_15MINS_CALLS_PER_MONTH numeric
@attribute AVERAGE_CALL_DURATION numeric
@attribute REPORTED_SATISFACTION {very_unsat,unsat,very_sat,sat,avg}
@attribute REPORTED_USAGE_LEVEL {very_little,high,little,avg,very_high}
@attribute CONSIDERING_CHANGE_OF_PLAN {actively_looking_into_it,considering,no,perhaps,never_thought}
@attribute PROFITABILITY numeric
@attribute LEAVE {LEAVE,STAY}

@data
zero,38348,50,0,740293,230,5,12,very_sat,little,actively_looking_into_it,6.77,STAY
one,32788,88,13,500882,505,4,8,very_unsat,very_little,never_thought,1.8,LEAVE
one,137711,212,25,296415,556,10,1,very_unsat,little,never_thought,3.47,LEAVE
one,64008,204,0,266815,307,16,14,very_unsat,very_high,considering,5.17,LEAVE
one,28754,85,0,408522,213,17,10,unsat,little,actively_looking_into_it,4.84,STAY
one,23733,0,18,315493,168,0,2,unsat,little,considering,1.14,LEAVE
zero,155073,0,0,161203,629,1,8,very_unsat,very_little,no,3.52,LEAVE
zero,114203,78,0,151955,840,5,2,unsat,high,actively_looking_into_it,3.38,STAY
one,32913,0,0,159144,218,1,10,very_sat,little,considering,4.05,LEAVE
zero,47967,238,71,310735,136,15,1,very_sat,little,actively_looking_into_it,4.36,LEAVE
zero,78818,232,9,379849,349,16,6,very_sat,little,no,3.05,LEAVE
one,40416,39,83,637913,173,3,2,very_sat,very_high,never_thought,5.66,STAY
one,118224,68,0,392269,691,5,12,very_sat,little,perhaps,4.06,LEAVE
zero,63659,42,0,285236,354,5,2,very_unsat,very_high,no,5.11,LEAVE
one,145198,223,0,654276,648,11,12,very_unsat,very_high,never_thought,2.89,STAY
zero,45899,0,65,976901,165,0,2,unsat,very_high,considering,5.85,STAY
zero,42325,201,0,255769,164,16,11,very_sat,little,actively_looking_into_it,2.66,LEAVE
zero,29095,71,7,176397,245,21,5,unsat,very_high,no,3.43,LEAVE
zero,29027,51,20,796167,167,0,6,very_sat,little,considering,6.84,STAY
zero,81535,73,0,976996,340,5,15,very_sat,little,perhaps,5.13,STAY
one,116712,58,17,929181,448,5,5,very_sat,very_high,considering,1.89,LEAVE
zero,141750,157,17,748380,702,17,4,very_sat,avg,considering,3.41,STAY
one,106731,187,43,261405,472,0,1,very_unsat,very_high,considering,4.14,STAY
zero,43045,0,25,454243,149,0,2,very_sat,little,actively_looking_into_it,5.45,LEAVE
zero,73523,51,0,458938,670,4,15,sat,high,never_thought,4.74,LEAVE
zero,96003,55,54,997035,801,3,2,very_sat,very_high,actively_looking_into_it,5,STAY
one,147450,197,25,340370,635,26,1,very_unsat,little,considering,0.79,LEAVE
zero,42717,100,39,410362,131,11,2,avg,avg,considering,6.65,STAY
one,76871,216,48,999687,292,20,2,very_unsat,little,considering,6.9,STAY
zero,52098,229,17,813939,534,24,5,avg,very_high,considering,9.13,STAY
zero,112167,0,12,308354,787,1,4,very_sat,very_little,considering,4.49,STAY
zero,63286,216,0,316926,342,3,12,very_unsat,very_little,never_thought,3.08,LEAVE
one,151787,0,56,613267,145,0,1,very_unsat,very_little,never_thought,7.04,LEAVE
one,46191,170,21,826454,212,15,4,very_unsat,very_little,actively_looking_into_it,6.23,LEAVE
one,36481,182,0,585366,219,22,14,very_unsat,little,never_thought,4.48,LEAVE
one,37884,167,59,777446,130,1,15,very_unsat,very_high,never_thought,6.03,STAY
one,151612,48,0,169594,593,4,15,avg,little,considering,5.04,STAY
one,120090,48,0,890983,507,5,13,very_sat,little,considering,2.64,LEAVE
zero,42780,0,56,350732,222,1,2,very_sat,little,considering,8.48,STAY
one,87431,0,15,375548,617,1,5,unsat,very_little,actively_looking_into_it,4.47,STAY
one,54814,0,0,293437,287,10,8,avg,very_high,actively_looking_into_it,4.31,STAY
zero,134141,137,0,247053,790,22,2,unsat,very_high,considering,5.2,LEAVE
one,27419,0,0,497253,267,0,15,very_sat,very_high,never_thought,3.12,LEAVE
one,111977,218,15,180267,600,12,5,avg,very_high,considering,4.37,LEAVE
one,111011,25,19,668604,757,5,6,sat,little,never_thought,3.35,STAY
one,29004,62,15,690872,168,3,6,very_sat,little,considering,6.03,STAY
zero,88884,0,17,459677,377,13,6,very_unsat,little,no,4.87,STAY
one,58060,0,0,762614,342,12,14,very_sat,very_little,actively_looking_into_it,4.66,STAY
zero,145132,199,81,173200,791,13,2,unsat,avg,considering,4.12,STAY
one,143815,219,9,453878,820,19,5,unsat,very_high,no,2.84,LEAVE
one,63191,0,0,905930,265,1,10,very_unsat,very_high,actively_looking_into_it,6.68,STAY
zero,32665,55,0,160243,218,5,5,very_unsat,little,actively_looking_into_it,1.56,LEAVE
zero,92640,45,22,679874,387,3,11,very_unsat,little,considering,7.39,STAY
zero,91545,206,8,399854,388,24,6,very_unsat,very_high,actively_looking_into_it,4.06,LEAVE
zero,81263,190,0,849107,393,24,10,very_unsat,little,actively_looking_into_it,5.72,STAY
zero,120514,0,0,995057,617,1,14,unsat,very_high,actively_looking_into_it,3.24,LEAVE
zero,86849,168,13,874901,285,22,6,sat,little,actively_looking_into_it,4.86,LEAVE
zero,101330,224,25,629044,511,13,2,very_sat,very_little,considering,3.79,STAY
zero,46354,49,13,268454,180,1,4,very_unsat,little,considering,4.93,STAY
zero,27405,59,0,577843,262,4,12,very_unsat,little,actively_looking_into_it,2.86,LEAVE
zero,23357,0,19,957894,166,0,5,very_unsat,very_high,perhaps,5.16,STAY
one,132947,68,0,583121,680,4,13,unsat,very_little,considering,5.3,STAY
zero,38384,59,17,891491,134,4,6,unsat,avg,considering,5.72,STAY
one,32666,192,15,980589,184,13,5,very_unsat,very_little,no,4.17,STAY
one,24465,67,18,857332,173,4,6,unsat,avg,considering,7.52,STAY
one,111361,63,17,610244,642,3,4,very_unsat,avg,considering,3.96,STAY
one,78423,57,9,570437,360,4,4,very_sat,very_little,considering,3.48,STAY
zero,40131,189,12,541221,140,11,2,very_unsat,very_little,considering,2.75,LEAVE
one,112027,55,61,413938,539,4,2,very_unsat,avg,considering,6.71,LEAVE
zero,21878,230,70,918009,216,26,15,unsat,little,actively_looking_into_it,6.02,STAY
zero,98484,67,0,151362,252,5,11,very_sat,little,never_thought,4.15,STAY
zero,119148,0,18,470381,526,1,4,very_sat,very_high,actively_looking_into_it,5.19,LEAVE
one,39623,0,0,738969,198,0,8,very_unsat,little,no,6.45,STAY
one,147630,0,0,180410,754,1,2,very_unsat,high,considering,5.81,LEAVE
one,96920,0,42,223828,561,1,1,avg,very_high,actively_looking_into_it,5.53,LEAVE
one,53865,0,22,164073,383,1,6,very_sat,very_little,considering,3.59,LEAVE
zero,50783,55,33,493153,346,4,1,avg,little,actively_looking_into_it,7.46,LEAVE
zero,156359,248,11,647559,542,1,1,unsat,very_high,considering,4.8,LEAVE
one,65665,46,0,416643,342,5,11,avg,very_little,actively_looking_into_it,2.92,LEAVE
zero,75580,0,0,539846,260,1,12,very_unsat,avg,never_thought,3.3,LEAVE
one,55248,208,8,715428,333,21,6,very_sat,little,considering,5.62,LEAVE
one,81270,0,10,536743,254,0,6,very_unsat,little,considering,4.53,STAY
one,49765,0,0,231178,130,0,10,very_unsat,high,actively_looking_into_it,2.9,STAY
zero,129582,201,66,879082,660,27,1,unsat,little,perhaps,3.81,STAY
zero,62732,173,8,712652,360,25,5,very_sat,little,considering,7.59,STAY
one,63505,214,0,335595,282,0,14,very_sat,very_high,actively_looking_into_it,3.62,LEAVE
zero,92898,42,0,807141,281,4,8,very_unsat,very_high,considering,6.93,STAY
one,146118,163,70,166215,755,15,11,sat,little,no,3.07,LEAVE
one,41549,201,11,520377,393,11,6,avg,high,considering,3.6,STAY
one,119617,79,16,971573,406,4,5,unsat,very_high,considering,2.71,LEAVE
one,47474,59,14,288698,325,3,4,very_sat,very_high,considering,1.96,STAY
zero,37409,193,38,208493,238,17,2,very_sat,high,no,2.47,LEAVE
one,89486,62,56,491330,368,3,2,very_unsat,very_little,no,4.77,LEAVE
zero,124199,161,18,585291,571,29,4,very_sat,very_high,actively_looking_into_it,2.91,LEAVE
one,39419,204,0,724804,133,10,13,unsat,very_little,no,4.12,STAY
zero,115675,192,59,339477,742,18,2,very_unsat,little,never_thought,4.67,LEAVE
one,41312,55,61,429012,238,5,1,very_sat,very_high,no,5.78,STAY
zero,39313,68,0,216972,238,4,15,unsat,high,no,3.79,STAY
zero,65563,0,0,248087,390,0,8,unsat,little,considering,4.3,STAY
one,43637,179,0,564028,146,21,12,unsat,very_high,considering,4.79,STAY
zero,119950,48,0,645924,659,4,9,very_unsat,avg,considering,3.22,LEAVE
one,151311,73,25,427284,815,4,2,unsat,very_high,no,5.66,LEAVE
one,59575,0,8,705637,363,12,6,very_sat,little,never_thought,6.73,STAY
one,120677,136,16,446893,647,22,5,very_unsat,little,actively_looking_into_it,1.35,LEAVE
one,144390,44,0,990022,705,5,4,unsat,very_little,no,3.09,STAY
one,97111,60,0,214409,232,4,9,very_unsat,little,considering,2.47,STAY
zero,21421,0,0,653583,167,0,10,very_sat,high,considering,4.36,LEAVE
zero,135391,201,71,564675,601,17,2,very_sat,very_high,actively_looking_into_it,3.58,LEAVE
one,153624,66,36,424289,430,4,4,very_sat,little,no,4.92,LEAVE
one,92880,0,48,351122,268,0,2,very_unsat,very_high,actively_looking_into_it,7.54,LEAVE
zero,42594,0,17,691252,192,0,5,very_unsat,little,no,6.55,STAY
one,147295,0,68,648598,656,1,1,sat,little,considering,7.32,STAY
zero,35968,0,19,996935,247,26,6,unsat,little,actively_looking_into_it,5.77,LEAVE
zero,27511,0,32,167591,163,1,2,avg,little,no,7.31,STAY
zero,81530,0,85,709223,381,0,2,very_unsat,very_high,considering,4.2,STAY
one,24008,56,62,865827,224,4,2,very_unsat,little,no,6.06,STAY
zero,66660,48,0,215878,259,5,8,very_unsat,very_high,considering,3.08,LEAVE
one,102504,0,63,420086,743,1,1,avg,very_high,considering,7.3,STAY
one,58834,0,23,263212,392,0,5,very_sat,little,considering,4.96,STAY
one,114150,0,14,229271,511,1,5,very_unsat,little,considering,4.79,STAY
one,156533,244,0,280536,530,15,10,very_unsat,very_little,considering,2.59,STAY
one,100008,213,87,185908,236,29,1,very_unsat,very_little,no,4.02,LEAVE
one,123505,207,12,420990,546,19,4,unsat,little,never_thought,3.63,STAY
one,99000,213,39,495416,360,13,1,very_unsat,little,never_thought,3.36,STAY
one,137440,67,88,399959,445,3,2,unsat,very_high,no,5.99,STAY
one,109927,40,0,376506,581,4,15,unsat,little,no,3.52,LEAVE
one,148882,77,0,594294,739,4,13,very_unsat,high,actively_looking_into_it,4.32,STAY
one,123101,0,86,482045,483,1,1,very_unsat,very_little,considering,6.03,STAY
one,20743,44,0,984473,242,5,10,very_unsat,very_little,considering,4.39,LEAVE
zero,104285,0,14,786800,734,1,6,very_unsat,little,no,3.12,LEAVE
zero,21572,228,82,791396,188,20,5,very_sat,very_little,considering,6.71,STAY
one,74010,225,0,911631,324,28,14,very_unsat,high,actively_looking_into_it,7.8,STAY
one,93592,0,0,269233,394,1,13,unsat,little,no,5.2,LEAVE
one,101913,68,88,472782,821,4,2,very_unsat,avg,considering,6.16,STAY
zero,52739,52,15,412015,258,5,6,avg,very_high,considering,1.79,LEAVE
one,46904,210,53,229390,202,3,1,very_unsat,very_high,no,2.71,LEAVE
one,42824,0,0,893137,199,0,15,very_sat,little,actively_looking_into_it,7.29,STAY
zero,102382,78,17,615835,683,26,4,very_unsat,very_high,considering,2.23,LEAVE
zero,59476,75,73,709895,253,3,1,sat,avg,actively_looking_into_it,4.92,STAY
one,132240,0,10,985702,148,0,5,very_unsat,very_little,considering,4.48,STAY
one,138630,203,12,882335,536,28,5,very_unsat,avg,considering,3.02,LEAVE
zero,82498,58,0,227158,619,3,12,sat,little,no,3.6,STAY
one,33575,211,0,151324,233,10,12,very_unsat,little,considering,3.61,LEAVE
zero,89057,0,0,419253,321,1,13,very_unsat,very_high,actively_looking_into_it,3.57,STAY
one,29773,45,39,782156,584,5,2,very_unsat,little,no,5.84,STAY
zero,130186,68,15,188683,518,4,5,very_unsat,high,no,3.46,STAY
one,133771,152,21,992311,783,27,5,very_unsat,high,considering,3.07,LEAVE
zero,144139,0,12,447618,713,1,4,very_sat,very_little,never_thought,5.51,STAY
zero,26343,258,0,506129,157,23,13,very_sat,little,actively_looking_into_it,3.85,STAY
one,85698,89,0,417534,139,5,12,very_unsat,very_high,actively_looking_into_it,4.74,LEAVE
one,40903,183,53,498695,390,15,1,unsat,very_high,considering,4.57,STAY
zero,143836,73,75,986907,546,3,2,very_sat,very_high,no,7.06,LEAVE
zero,70318,0,8,579195,316,0,5,unsat,little,considering,3.86,LEAVE
one,107976,167,47,885543,556,27,9,avg,avg,considering,5.49,LEAVE
zero,72469,215,35,850661,281,11,1,very_sat,very_little,considering,7.27,STAY
zero,117529,0,0,719802,741,0,14,sat,little,never_thought,4.21,LEAVE
zero,124825,67,0,483137,628,3,10,very_sat,little,no,5.66,LEAVE
zero,66448,232,7,200206,372,27,4,unsat,high,considering,3.49,STAY
one,83596,216,0,524109,284,20,8,very_sat,little,considering,4.18,LEAVE
zero,122605,0,60,587922,760,1,2,sat,avg,no,6.77,LEAVE
zero,85205,53,0,807901,354,18,8,very_unsat,little,no,6.3,LEAVE
zero,23034,60,0,929431,189,4,12,avg,very_high,actively_looking_into_it,7.06,STAY
zero,88262,43,16,878397,345,4,4,very_sat,little,considering,6.77,STAY
one,158425,0,0,284111,485,4,15,sat,very_high,no,3.64,STAY
one,81412,61,0,605318,324,5,8,very_unsat,very_little,actively_looking_into_it,5.58,STAY
one,49786,57,60,310604,161,4,2,avg,very_high,no,5.53,STAY
one,41559,41,0,945283,143,5,13,unsat,high,considering,5.23,STAY
one,36432,0,85,995433,658,0,2,avg,little,no,4.44,STAY
one,92474,89,0,277780,264,3,9,very_sat,little,no,4.28,STAY
zero,56033,217,0,954779,271,22,11,very_unsat,little,actively_looking_into_it,4.64,STAY
zero,152454,0,61,330231,619,1,1,unsat,very_high,considering,5.92,LEAVE
zero,141247,0,8,634009,736,1,5,very_unsat,high,considering,5.3,STAY
one,145255,154,85,370066,728,23,1,very_sat,very_high,considering,4.75,LEAVE
one,108362,225,13,911582,878,12,4,very_unsat,little,considering,4.8,LEAVE
zero,120519,178,41,258579,428,20,2,very_unsat,little,perhaps,3.98,LEAVE
zero,45682,232,54,882549,386,28,1,avg,little,considering,6.28,STAY
zero,71232,68,23,822271,713,4,5,sat,very_little,considering,5.52,LEAVE
zero,121464,0,0,192140,608,1,4,very_sat,little,considering,2.49,LEAVE
zero,36701,0,49,614113,130,1,1,very_unsat,little,never_thought,6.04,STAY
one,125386,58,85,361734,718,5,2,sat,very_little,actively_looking_into_it,6.43,STAY
zero,141034,46,5,453763,837,5,6,very_sat,very_little,no,4.73,STAY
one,72471,281,0,402617,287,29,12,avg,very_little,never_thought,2.65,LEAVE
zero,131701,0,72,744767,668,1,4,very_unsat,very_little,actively_looking_into_it,6.97,STAY
zero,138563,42,8,397710,658,3,4,very_sat,little,actively_looking_into_it,2.21,LEAVE
one,157578,64,39,186556,161,5,1,very_unsat,little,actively_looking_into_it,5.5,LEAVE
zero,31486,223,0,690023,186,10,8,very_sat,very_little,no,3.8,LEAVE
zero,21508,118,40,574907,184,22,1,unsat,avg,perhaps,4.21,STAY
zero,115623,33,36,697212,826,5,2,very_unsat,avg,perhaps,3.99,LEAVE
one,20953,0,0,232124,238,4,13,very_unsat,very_high,no,4.9,LEAVE
one,144973,54,8,875887,545,4,4,avg,very_high,perhaps,4.08,STAY
zero,34096,37,48,458421,190,3,5,very_sat,little,actively_looking_into_it,4.01,LEAVE
one,151235,0,0,716365,425,1,11,avg,little,considering,3.17,LEAVE
zero,61073,74,0,248903,352,5,8,very_unsat,very_little,no,5.69,STAY
zero,79918,0,8,251232,294,1,6,sat,little,never_thought,3.09,LEAVE
one,138927,194,54,831728,579,12,1,very_sat,very_high,considering,4.57,LEAVE
one,56542,66,89,799861,355,3,1,very_unsat,high,never_thought,6.18,STAY
zero,67985,207,11,156645,338,17,6,very_sat,very_high,considering,2.78,LEAVE
one,30023,0,0,230262,346,0,14,avg,very_high,considering,3.53,LEAVE
one,120219,155,23,303454,858,1,5,unsat,little,considering,3.59,LEAVE
one,38413,0,60,152804,234,1,2,unsat,little,no,4.44,LEAVE
one,133735,0,0,386358,515,0,9,very_sat,very_little,considering,3.45,STAY
zero,111285,180,20,308639,838,19,4,unsat,little,considering,3.9,STAY
zero,138481,167,0,185712,646,22,9,very_sat,little,no,3.72,LEAVE
one,63702,67,38,272722,802,0,2,very_unsat,little,considering,5.36,LEAVE
one,144140,63,53,177504,840,3,1,unsat,very_high,never_thought,6.97,STAY
zero,152639,0,0,282591,600,3,8,avg,little,considering,3.45,STAY
one,132209,0,23,485054,787,1,4,very_unsat,little,actively_looking_into_it,4.09,STAY
one,123948,143,10,245990,659,18,6,very_sat,high,considering,4.41,LEAVE
one,24154,173,0,319861,304,14,11,very_sat,high,considering,5.37,LEAVE
zero,87488,157,0,163756,359,13,2,unsat,little,actively_looking_into_it,2.95,LEAVE
zero,98713,0,0,896331,260,0,14,very_sat,little,no,5.86,STAY
zero,65532,231,0,253355,301,28,4,unsat,little,considering,3.77,STAY
zero,23193,206,24,154280,167,13,6,very_unsat,very_little,considering,3.7,STAY
zero,105705,0,0,698099,886,1,9,unsat,very_little,perhaps,5.84,STAY
one,153813,0,37,157658,702,1,2,unsat,very_high,actively_looking_into_it,6.75,LEAVE
one,75989,233,24,667923,262,20,6,very_unsat,very_little,actively_looking_into_it,6.74,STAY
one,45021,0,86,909315,199,0,2,unsat,very_high,considering,6.61,STAY
zero,68736,56,29,221242,258,4,2,very_unsat,little,considering,6.06,LEAVE
zero,55464,36,0,696358,361,3,8,very_sat,little,never_thought,7.31,STAY
one,25464,194,15,846066,199,23,5,very_sat,little,considering,6.92,LEAVE
zero,92386,212,23,940480,396,0,6,unsat,avg,actively_looking_into_it,5.51,STAY
zero,136090,77,10,767602,820,4,4,unsat,little,considering,2.74,STAY
zero,34977,0,77,364260,168,1,1,very_sat,little,actively_looking_into_it,6.31,LEAVE
zero,33535,0,0,255356,194,1,10,very_unsat,little,no,2.23,LEAVE
one,155638,52,65,178822,717,5,2,very_unsat,very_little,considering,6.7,LEAVE
one,122230,222,84,293839,506,10,1,unsat,very_little,actively_looking_into_it,2.98,STAY
zero,117367,0,0,228740,403,0,9,very_sat,high,considering,2.29,LEAVE
one,92086,0,23,936357,295,0,4,avg,very_high,considering,6.72,STAY
zero,115976,0,7,342597,867,1,6,avg,avg,considering,4.53,STAY
one,45023,206,0,958202,140,17,8,very_unsat,very_little,perhaps,5.88,STAY
one,66234,194,0,495692,285,15,8,very_sat,very_little,considering,3.82,LEAVE
one,40575,69,0,354863,160,0,10,very_sat,very_high,considering,5.53,STAY
zero,64952,49,22,269611,313,3,4,very_unsat,little,actively_looking_into_it,3.68,LEAVE
one,146638,0,0,505643,449,0,11,very_unsat,little,actively_looking_into_it,3.26,STAY
zero,46727,60,34,632164,157,5,1,unsat,very_high,considering,5.76,STAY
one,26936,38,0,273928,154,4,6,very_unsat,little,considering,3.75,STAY
one,67537,0,13,444873,352,0,4,very_sat,very_high,considering,4.3,STAY
zero,145213,182,30,729999,682,17,2,avg,very_high,never_thought,2.85,LEAVE
one,156328,0,73,261358,221,0,1,very_sat,very_high,perhaps,6.35,STAY
zero,138356,236,8,297638,704,28,1,sat,very_little,actively_looking_into_it,3.96,LEAVE
one,124934,82,21,415527,702,3,5,very_unsat,very_little,considering,2.43,LEAVE
one,131391,81,5,487727,378,4,6,avg,very_high,actively_looking_into_it,3.85,STAY
zero,56919,72,0,938810,375,5,11,very_unsat,very_little,never_thought,5.76,STAY
one,30146,177,85,385356,240,29,1,unsat,very_high,actively_looking_into_it,2.76,LEAVE
zero,67687,0,51,241000,292,0,2,unsat,very_high,actively_looking_into_it,5.01,LEAVE
zero,118123,66,11,253888,538,3,6,very_unsat,very_high,actively_looking_into_it,5.6,LEAVE
zero,118770,62,36,284947,808,23,2,very_unsat,little,considering,6.81,STAY
one,111651,0,0,195368,644,0,4,very_sat,little,no,4.16,LEAVE
one,53598,51,28,291420,339,3,1,unsat,little,perhaps,5.8,LEAVE
zero,53918,0,17,294886,436,0,4,very_unsat,very_high,no,2.58,STAY
zero,114881,0,86,902552,571,0,1,very_unsat,little,actively_looking_into_it,5.57,LEAVE
zero,98922,66,0,466234,259,3,9,avg,little,considering,1.11,LEAVE
zero,20863,0,0,293087,196,0,9,very_unsat,little,considering,4.06,LEAVE
zero,40618,55,22,283376,224,4,4,unsat,very_little,considering,3.08,LEAVE
one,139637,61,0,443435,617,3,13,very_unsat,little,considering,3.82,STAY
zero,136695,84,0,419016,628,5,11,very_sat,little,considering,3.96,LEAVE
one,145191,71,0,173945,871,3,10,very_unsat,very_little,considering,3.47,STAY
zero,50474,98,0,290484,349,4,9,unsat,very_little,no,2.51,STAY
one,57586,0,70,202743,265,0,2,unsat,little,no,6.97,LEAVE
zero,75704,0,19,488229,272,0,4,very_unsat,little,considering,5.1,LEAVE
zero,102278,0,33,501518,469,1,1,very_sat,very_high,considering,6.84,LEAVE
zero,77017,184,0,761930,290,26,8,unsat,very_high,actively_looking_into_it,5.22,STAY
one,116737,0,75,559462,440,1,1,very_unsat,high,actively_looking_into_it,4.7,LEAVE
one,125438,0,0,600870,870,1,11,very_sat,very_little,never_thought,4.32,LEAVE
one,115502,142,55,185191,740,27,1,very_sat,little,actively_looking_into_it,4.69,STAY
zero,27813,151,0,547833,143,5,9,unsat,little,considering,4.18,LEAVE
zero,33340,180,21,739532,225,25,4,very_unsat,little,actively_looking_into_it,5.18,STAY
one,64836,0,0,837872,306,1,8,very_sat,very_high,considering,4.39,STAY
zero,85286,78,53,769958,331,5,2,unsat,very_high,no,5.3,STAY
one,58215,83,0,716257,302,3,11,very_sat,little,actively_looking_into_it,5.77,LEAVE
one,59776,219,0,653571,391,19,1,unsat,little,actively_looking_into_it,5.63,STAY
one,69066,206,60,236276,333,10,1,very_unsat,very_little,considering,3.28,LEAVE
one,88552,0,31,347852,143,0,2,very_unsat,little,actively_looking_into_it,5.9,LEAVE
one,112210,74,0,151629,518,4,14,very_unsat,little,considering,3.36,LEAVE
zero,23736,0,0,199725,243,1,8,unsat,high,considering,4.66,LEAVE
zero,45439,242,0,987852,197,29,14,very_sat,very_high,never_thought,6.81,STAY
one,90849,199,15,826491,397,25,5,very_unsat,little,considering,6.99,STAY
one,55795,262,8,295739,192,24,6,very_sat,avg,considering,3.92,LEAVE
zero,75638,0,0,210830,286,1,13,sat,little,no,3.71,LEAVE
zero,67155,188,0,233636,395,10,9,very_sat,little,actively_looking_into_it,2.1,LEAVE
one,145098,0,38,700079,486,1,2,very_sat,little,considering,6.63,STAY
zero,97727,67,0,160175,361,3,10,unsat,very_little,considering,4.07,STAY
zero,63351,191,47,168662,297,29,2,very_unsat,little,actively_looking_into_it,1.8,LEAVE
one,45340,0,0,630825,141,1,9,very_unsat,little,considering,5.33,STAY
zero,75106,77,5,192212,260,5,5,very_sat,high,no,3.39,LEAVE
zero,35812,0,52,796803,197,1,1,very_sat,little,never_thought,6.86,STAY
zero,64828,52,20,829248,313,3,6,very_sat,little,no,5.28,STAY
one,115928,64,0,204640,712,3,6,very_sat,very_little,actively_looking_into_it,3.02,LEAVE
one,142692,0,0,182577,532,29,11,very_unsat,high,no,2.21,LEAVE
one,77402,47,0,193677,320,3,11,very_unsat,very_little,considering,2.75,STAY
zero,46278,71,13,862752,224,24,6,very_unsat,very_high,considering,5.86,STAY
one,92864,65,11,179642,308,5,5,very_unsat,little,actively_looking_into_it,2.48,STAY
one,58492,194,0,511355,347,17,9,unsat,very_high,considering,2.66,LEAVE
zero,68133,0,0,234698,273,10,15,unsat,very_little,no,2.09,LEAVE
zero,111605,0,20,588756,476,1,5,very_unsat,little,no,3.1,LEAVE
zero,113879,0,0,544393,413,1,9,very_unsat,little,actively_looking_into_it,2.95,STAY
one,141664,36,85,246718,723,5,2,very_unsat,high,actively_looking_into_it,5.06,LEAVE
one,148021,61,14,857666,705,5,6,very_unsat,very_high,no,3.68,LEAVE
zero,39309,65,9,890760,146,5,4,avg,very_high,considering,6.94,STAY
zero,31205,0,20,369526,185,0,4,avg,little,no,4.01,STAY
one,95118,77,84,311155,334,4,1,unsat,very_little,considering,4.72,LEAVE
zero,74757,63,31,795149,294,5,1,very_unsat,high,considering,6.3,STAY
zero,37699,140,15,462841,179,29,4,unsat,very_little,never_thought,3.12,STAY
zero,140151,52,33,593993,649,19,1,very_unsat,high,no,6.42,LEAVE
one,95311,71,0,827490,294,0,14,very_unsat,very_high,never_thought,7.96,STAY
one,51426,164,0,416584,390,23,12,very_unsat,avg,perhaps,4.18,LEAVE
one,45495,196,28,204592,202,20,2,very_unsat,very_little,no,3.08,LEAVE
one,75239,48,17,897130,372,5,4,very_sat,very_high,never_thought,6.22,STAY
one,23094,204,0,535113,183,23,13,very_unsat,little,actively_looking_into_it,2.61,LEAVE
one,42085,73,0,412011,131,3,13,very_unsat,avg,no,4.17,STAY
one,59008,0,63,893409,281,0,2,unsat,very_little,considering,6.57,LEAVE
one,144929,0,57,505138,740,1,1,unsat,little,actively_looking_into_it,5.73,STAY
zero,110015,205,10,655343,439,18,4,very_unsat,little,actively_looking_into_it,2.46,LEAVE
zero,68659,236,0,266910,250,14,9,very_unsat,little,actively_looking_into_it,3.66,STAY
zero,146852,219,0,747714,602,27,14,avg,little,considering,3.22,LEAVE
zero,78885,57,18,350801,394,3,5,very_unsat,little,considering,1.72,LEAVE
zero,61088,0,62,746217,287,0,1,very_sat,little,considering,4.88,STAY
zero,58009,0,0,266286,284,1,10,very_unsat,very_high,considering,3.4,LEAVE
one,24443,0,0,582509,230,1,5,very_unsat,little,considering,1.77,STAY
one,47073,0,0,559412,220,0,15,very_unsat,little,perhaps,5.27,STAY
one,34754,190,7,864369,236,18,4,unsat,little,actively_looking_into_it,6.13,LEAVE
one,38818,0,61,415010,161,0,1,very_unsat,little,considering,6.39,LEAVE
one,40072,63,0,150327,225,3,10,very_unsat,very_little,considering,5.05,LEAVE
zero,107228,66,24,656542,776,3,6,avg,very_little,never_thought,1.75,LEAVE
one,66267,0,17,256863,321,1,6,very_sat,little,considering,2.99,LEAVE
zero,32810,0,0,816822,149,5,9,unsat,high,considering,5.57,STAY
one,62043,188,67,217871,337,4,1,very_sat,high,no,0.82,LEAVE
zero,113818,188,0,285717,776,19,12,unsat,little,never_thought,5.14,LEAVE
one,61558,68,0,686567,357,3,13,very_sat,little,considering,6.05,STAY
zero,80494,58,9,282282,294,5,4,unsat,little,actively_looking_into_it,2.01,LEAVE
zero,159007,65,0,400335,724,3,9,very_sat,little,actively_looking_into_it,3.35,LEAVE
one,131172,198,18,981495,650,29,5,very_unsat,very_little,never_thought,2.2,LEAVE
zero,108874,49,0,271903,486,5,14,very_unsat,little,perhaps,3.69,STAY
zero,67058,151,0,426580,343,21,10,very_unsat,little,actively_looking_into_it,3.07,LEAVE
one,58638,247,5,167537,277,5,6,very_unsat,very_little,actively_looking_into_it,0.88,LEAVE
zero,151443,57,0,723610,734,3,10,very_sat,very_high,considering,3.7,STAY
zero,74518,153,0,301087,307,5,9,very_sat,little,considering,3.84,LEAVE
zero,110102,93,14,262443,419,16,5,very_sat,little,no,4.73,STAY
one,120062,127,0,719024,899,0,9,avg,very_little,never_thought,3.76,STAY
one,30184,65,8,766320,170,3,4,very_unsat,very_high,actively_looking_into_it,5.91,STAY
